"GEOID","B01001_001","B25001_001","B26001_001","commuteDuration30minplus","commuteDuration60minplus","vehicle","novehiclesavailable","privatetransportmethod","publictransportation","walkingdistancecommute","commutertrain","workedfromhome","ua_per_facilities_prior1980","ua_per_facilities_after2000","ua_total_voms","ua_voms_per_person","ua_per_dr_service","ua_per_do_service","ua_voms_per_facility","ua_oe_after_fares","ua_est_operating_cost_per_person","ua_est_daily_cost","ua_cost_per_hour","ua_passengers_per_hour","ua_est_daily_ridership","ua_est_cost_per_passenger","ua_est_fare_per_person","fatalmvapercapita","fatalmvatrailerpercapita","fatalmvapedestrianstrikepercapita","fatalintoxicationmvapercapita","transportation_score","transportation_rnk","transp_score1","transp_score2","transp_score3","transp_score4","transportation_state_rnk","NAME"
"01001",55639,23697,578,39.9791623254845,6.05542821421129,1.99615009972633,0.694528082219278,86.7088861277005,0.43689125816666,0.733496332518337,0,3.82380055312838,0,33.3333333333333,25,0.00100204417010702,66.6666666666667,100,8.33333333333333,7143.372,0.109,4.831416,0.201309,9.2859,109,21.678997189287,484.669,30.5541077301893,0,0,3.59460090943403,98.79,72.803738317757,97.71,95.03,126.86,83.17,80.3030303030303,"Autauga County, Alabama"
"01003",218289,116747,2954,38.5188609670993,7.52677519840615,1.94542339405333,1.38752772476402,82.9965601763167,0.0308966199097819,1.19363941584791,0,6.43576592720756,0,0,0,0,0,0,0,0,0.03,0,0,0,30,0,0,35.2743381480514,0,0,7.32973260219251,95.64,33.8940809968847,97.08,95.52,86.7,90.62,36.3636363636364,"Baldwin County, Alabama"
"01005",25026,12057,2910,34.9280019040819,11.805307628228,1.74737180862476,4.71069549970777,84.0327293980129,0.0584453535943892,2.29105786090006,0,1.77673874926943,0,100,5,0.000584453535943892,100,100,0,180.892,0.005,6.12036,0.255015,4.5841,5,55.6303309264632,5.524,87.9085750819148,0,0,7.99168864381044,101.43,85.4205607476636,97.54,101.76,152.95,83.95,92.4242424242424,"Barbour County, Alabama"
"01007",22374,9237,1657,56.0757226912254,10.3734970580711,2.00509712081554,1.02469135802469,87.6526458616011,0,0.33304551622055,0,3.56482052547181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3894699204434,8.93894699204434,0,0,95.87,38.411214953271,97.08,94.27,86.7,72.26,42.4242424242424,"Bibb County, Alabama"
"01009",57755,24404,564,60.3193216669674,18.6000360815443,2.23881160103749,1.25502673560475,88.3415797844142,0.10160805796077,0.459445131648701,0,2.04983212581728,0,0,0,0,0,0,0,0,0.023,0,0,0,23,0,0,90.0354947623582,6.92580728941217,0,12.1201627564713,96.4,47.6947040498442,97.08,91.84,86.7,62.32,51.5151515151515,"Blount County, Alabama"
"01011",10173,4591,433,46.8963769951862,12.7438560932354,1.85097696121318,7.65754456439869,80.4767879548306,0,5.37013801756587,0,0.95357590966123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.748550083555,68.8095940233953,0,49.1497100167109,96.75,53.3644859813084,97.08,103.66,86.7,90.17,59.0909090909091,"Bullock County, Alabama"
"01013",19726,10119,320,37.6966073053425,9.13817756401924,2.01007670326365,2.74892323283506,86.3693944768178,0.202685583987839,0.380035469977198,0,2.54623764884723,0,0,0,0,0,0,0,0,0.016,0,0,0,16,0,0,116.597384163034,0,0,35.486160397445,95.12,24.6105919003115,97.08,96.58,86.7,82.23,20.4545454545455,"Butler County, Alabama"
"01015",114324,53722,2979,31.4832059250276,7.20705112935011,1.98945526339406,1.62311278388435,84.5910156497497,0.610361359268411,1.21649876449344,0,2.47523706942068,0,0,0,0,0,0,0,0,0.289,0,0,0,289,0,0,48.9835904971834,0,22.7423813022637,4.37353486581995,95.07,23.7694704049844,97.08,96.73,86.7,86.69,18.1818181818182,"Calhoun County, Alabama"
"01017",33427,16985,558,31.4999640985137,5.93092554031737,2.01663967015167,2.98181305512477,87.4180587862127,0.197363783745683,0.817649961232114,0,1.83266370620991,0,0,0,0,0,0,0,0,0.028,0,0,0,28,0,0,122.655338498818,32.9075298411464,0,23.9327489753792,94.36,11.2461059190031,97.08,96.76,86.7,85.54,0,"Chambers County, Alabama"
"01019",26035,16631,274,48.2237566296407,10.1671169818873,2.19564414913252,0.548696844993141,85.9886341367823,0.156770527140898,0.548696844993141,0,2.0870076425632,0,0,0,0,0,0,0,0,0.016,0,0,0,16,0,0,26.8868830420588,7.68196658344536,0,7.68196658344536,95.25,26.8224299065421,97.08,91.69,86.7,74.72,25.7575757575758,"Cherokee County, Alabama"
"01021",44147,19897,429,49.6407080680026,14.7572588654554,2.05460910151692,2.13419839508281,85.5403175325784,0,0.273146303989074,0,2.5948898878962,0,100,10,0.000569054799977238,100,100,0,342.46,0,0.885768,0.036907,1.3644,0,27.0499853415421,15.058,70.2199469952658,2.26515958049245,2.26515958049245,2.26515958049245,100.07,81.0280373831776,97.31,94.9,141.65,71.59,90.9090909090909,"Chilton County, Alabama"
"01023",12755,7410,171,52.3406257351212,21.1950129381322,2.05590994371482,1.08695652173913,85.6154910096819,0,1.17565698478562,0,2.00553250345781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.760878087025,0,31.3602508820071,47.0403763230106,96.52,49.6884735202492,97.08,93.7,86.7,68.99,54.5454545454545,"Choctaw County, Alabama"
