"GEOID","B01001_001","B25001_001","B26001_001","commuteDuration30minplus","commuteDuration60minplus","aggtraveltimeperperson","vehicle","novehiclesavailable","privatetransportmethod","publictransportation","walkingdistancecommute","commutertrain","workedfromhome","ua_per_facilities_prior1980","ua_per_facilities_after2000","ua_total_voms","ua_voms_per_person","ua_per_dr_service","ua_per_do_service","ua_voms_per_facility","ua_oe_after_fares","ua_est_operating_cost_per_person","ua_est_daily_cost","ua_cost_per_hour","ua_passengers_per_hour","ua_est_daily_ridership","ua_est_cost_per_passenger","ua_est_fare_per_person","fatalmvapercapita","fatalmvatrailerpercapita","fatalmvapedestrianstrikepercapita","fatalintoxicationmvapercapita","transportation_score","transportation_rnk","transp_score1","transp_score2","transp_score3","transp_score4","transportation_state_rnk","NAME"
"01001",59285,24731,503,41.2040133779264,7.10210505606925,25.567356168446,2.10802290991431,1.69114374721851,84.916221826809,0.237247924080664,0.0926749703440095,0,5.78662514827995,0,33.3333333333333,25,0.000926749703440095,60,100,8.33333333333333,8561.352,575739.712,6.298296,0.262429,8.9006,13671.3216,29.4844167808912,434.581,3.37353462089905,0,1.68676731044952,0,98.87,72.4782067247821,97.63,128.57,107.25,83.48,80.3030303030303,"Autauga County, Alabama"
"01003",239945,128518,3280,39.1072802832076,7.88363860243189,23.6702358625659,1.99017349591091,1.25661620461191,80.296745225931,0.092386433976035,1.15852588205948,0,9.96480076865513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08381087332514,0.416762174665027,0.833524349330055,0.416762174665027,96.25,38.480697384807,97.06,86.82,104.48,92.57,43.9393939393939,"Baldwin County, Alabama"
"01005",24757,11702,3067,36.9633245712855,11.6785580172738,24.3742621015348,1.84779735682819,4.52290977798772,82.4085005903188,0.200708382526564,1.38134592680047,0,5.6788665879575,0,100,4,0.000472255017709563,100,100,0,221.532,3952.806,5.4979632,0.2290818,5.7399,2341.8792,39.9104165577798,10.986,12.117784868926,0,4.03926162297532,4.03926162297532,99.97,80.3237858032379,97.4,144.39,109.42,95.52,93.9393939393939,"Barbour County, Alabama"
"01007",22152,9090,1382,53.7067133391674,9.1761470183773,29.4919529185683,2.13234711398758,0.600528465049243,87.8933461446072,0.108095123708864,1.17703579149652,0,3.92745616142205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.42,21.4196762141968,97.06,86.82,122.72,78.76,27.2727272727273,"Bibb County, Alabama"
"01009",59292,24793,572,61.4030697364031,17.0920920920921,33.6233642257667,2.26263821267689,1.26521842921938,85.0761703989499,0,0.910862734179229,0,4.63386500139215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8059771975983,0,1.68656817108548,1.68656817108548,96.44,42.5902864259029,97.06,86.82,143.71,80.48,54.5454545454545,"Blount County, Alabama"
"01011",10157,4554,1035,43.2179341657208,7.80363223609535,28.9122460496614,1.65537214016797,4.54288939051919,87.6693002257336,0,0.677200902934537,0,0.564334085778781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6908535985035,0,0,0,95.43,21.6998754669988,97.06,86.82,114.03,88.27,28.7878787878788,"Bullock County, Alabama"
"01013",18807,9841,313,35.1447725003566,9.91299386678077,23.2362525458248,1.95841366014872,2.56619144602851,85.1459606245757,0.312287847929396,0.475220638153428,0,4.80651731160896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2686765566013,0,5.31716913915032,0,95.33,19.4894146948941,97.06,86.82,104.38,86.71,24.2424242424242,"Butler County, Alabama"
"01015",116141,53271,4020,31.6488444291135,7.92730251810969,23.6570508187581,1.9662271468144,2.50289443216504,85.1116112912218,0.586449707807628,0.836310322753836,0,4.21872096144713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0543132916024,0,1.72204475594321,0.861022377971603,95.16,16.5628891656289,97.06,86.82,100.25,87.25,18.1818181818182,"Calhoun County, Alabama"
"01017",34450,16427,669,33.3749357609573,6.02011599735702,22.5132856231843,2.01900290632685,1.41556409162043,85.9703819173811,0.51016793027705,1.26833415999433,0.141713313965847,3.48614752355984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9303338171263,11.611030478955,0,5.8055152394775,94.59,8.00124533001245,97.49,86.82,97.03,83.94,4.54545454545455,"Chambers County, Alabama"
"01019",25224,14663,283,46.3322435635472,10.3596240294238,28.404088819329,2.13572587572778,0.929277120219114,85.7673872640125,0.626039323094982,0.929277120219114,0,4.2551110241612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66,26.681195516812,97.06,86.82,118.6,82.1,34.8484848484849,"Cherokee County, Alabama"
"01021",45500,19702,401,50.2257787939411,14.2097742212061,28.8846774193548,2.16765409593255,0.720623823608497,82.2903225806452,0,1.25268817204301,0,5.94086021505376,0,100,8,0.00043010752688172,100,100,0,340.623,0,1.0204512,0.0425188,1.3766,0,30.8868226064216,13.729,6.59340659340659,2.1978021978022,2.1978021978022,0,99.49,77.4595267745953,97.23,140.89,126.76,84.63,89.3939393939394,"Chilton County, Alabama"
"01023",12525,7164,146,54.9576368216167,21.5479734371422,35.4170393559928,2.07750289911094,1.94543828264758,81.8425760286225,0,1.47584973166369,0,2.3479427549195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.02,51.494396014944,97.06,86.82,148.62,85.91,63.6363636363636,"Choctaw County, Alabama"
"01025",22802,11727,371,35.3395263639932,9.53813947402852,23.9506566364911,1.85009465215334,2.37366003062787,89.1368098941732,0.204003570062476,1.41527476730843,0,2.55004462578095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.96,13.7297633872976,97.06,86.82,104.97,83.88,15.1515151515152,"Clarke County, Alabama"
