"GEOID","B01001_001","B25001_001","B26001_001","commuteDuration30minplus","commuteDuration60minplus","aggtraveltimeperperson","vehicle","novehiclesavailable","privatetransportmethod","publictransportation","walkingdistancecommute","commutertrain","workedfromhome","ua_per_facilities_prior1980","ua_per_facilities_after2000","ua_total_voms","ua_voms_per_person","ua_per_dr_service","ua_per_do_service","ua_voms_per_facility","ua_oe_after_fares","ua_est_operating_cost_per_person","ua_est_daily_cost","ua_cost_per_hour","ua_passengers_per_hour","ua_est_daily_ridership","ua_est_cost_per_passenger","ua_est_fare_per_person","fatalmvapercapita","fatalmvatrailerpercapita","fatalmvapedestrianstrikepercapita","fatalintoxicationmvapercapita","transportation_score","transportation_rnk","public_score","infrastructure_score","safety_score","private_score","transportation_state_rnk","NAME"
"01001",58239,24170,547,40.128551023647,6.79257260752262,25.1130092977549,2.00997437774524,1.68843460155215,86.4010885176506,0.544258825308035,0.657646080580543,0,4.73958727039081,0,33.3333333333333,25,0.000944893793937561,66.6666666666667,100,8.33333333333333,8132.671,1227304.944,5.8268112,0.2427838,7.7659,26838.9504,31.2628027659383,390.28,8.58531224780645,0,1.71706244956129,1.71706244956129,98.82,75.5063882829542,97.58,124.3,99.58,86.2,86.3636363636364,"Autauga County, Alabama"
"01003",227131,121763,2926,38.7660217462515,7.60167799063791,24.2564052605943,1.95478839316435,1.11418982204184,81.4018509498295,0.129566488066245,1.18071115440818,0,7.80613735996103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40274555212631,0.440274555212631,0,0.880549110425261,96.32,39.1399189778747,96.32,86.29,93.89,91.75,36.3636363636364,"Baldwin County, Alabama"
"01005",25259,11667,2964,35.6198942815954,11.7491590581451,25.5885829098215,1.76320422535211,4.26663514950951,83.1225623448765,0.0827325375251152,2.17468384351732,0,1.61919394870583,0,100,3,0.00035456801796478,100,100,0,208.527,1510.159,8.9890416,0.3745434,6.901,1159.368,54.273786407767,7.21,7.91796983253494,0,3.95898491626747,0,99.77,82.1128077282643,96.18,142.29,99.08,102.02,92.4242424242424,"Barbour County, Alabama"
"01007",22412,9013,1440,55.5861526357199,11.3296616837136,29.074305729297,2.06056755612029,0.638617580766341,86.9652239179384,0,0.475356517388041,0,4.60345258944208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8,48.208164537239,95.93,84.89,89.88,82.22,46.969696969697,"Bibb County, Alabama"
"01009",58884,24527,532,60.1118760757315,17.0697074010327,32.9471527719709,2.27845070422535,1.57648239524964,86.420269253282,0.12542854753742,0.635504640856259,0,2.83468517434568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69825419468786,0,1.69825419468786,0,97.47,59.3642879401683,96.31,83.77,92.78,81.48,63.6363636363636,"Blount County, Alabama"
"01011",10386,4522,404,49.8927613941019,14.6916890080429,33.5170394036209,1.64668031588184,5.71123565519082,83.8658146964856,0,1.8370607028754,0,0.692225772097977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5133834007318,0,9.62834585018294,9.62834585018294,97.58,60.6419445310065,95.93,83.6,138.33,105.6,66.6666666666667,"Bullock County, Alabama"
"01013",19181,9842,297,35.2488314544955,8.86719824030795,24.1636558276462,2.02204869085898,2.0875150541951,86.5917302288238,0.120433560818948,0.414826709487488,0,2.66291984477452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6404775559147,5.21349251863824,5.21349251863824,10.4269850372765,95.04,15.8928014957931,96.3,86.32,120.59,86.17,7.57575757575758,"Butler County, Alabama"
"01015",116425,53112,3008,31.0107344032309,7.2717610798172,23.4606662818504,1.98670278812507,1.61118647605134,84.9282592562052,0.616393172260246,1.07817267254886,0,3.01599736126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3070646338845,0.858922052823706,2.57676615847112,0.858922052823706,95.28,19.756933624182,97.8,86.52,100.31,88.7,12.1212121212121,"Calhoun County, Alabama"
"01017",34834,16433,537,29.0797126240164,5.72699281560041,22.0300852864146,2.06279052046026,2.54066406775104,86.9787119736754,0.329057820159828,0.409643408770398,0.0873010543281177,1.85346853804311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4830338175346,5.7415169087673,0,2.87075845438365,94.61,9.59800560922406,96.93,86.94,101.19,86.08,1.51515151515152,"Chambers County, Alabama"
"01019",24975,14734,259,47.9906193369577,10.8410617204989,29.4597402597403,2.16591002888981,0.935064935064935,84.8207792207792,0.675324675324675,0.509090909090909,0,2.53506493506494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.52,43.1910252415083,97.97,84.78,89.88,83.24,40.9090909090909,"Cherokee County, Alabama"
