"GEOID","B01001_001","B25001_001","B26001_001","aggtraveltimeperperson","vehicle","novehiclesavailable","privatetransportmethod","publictransportation","walkingdistancecommute","ua_per_facilities_prior1980","ua_per_facilities_after2000","ua_total_voms","ua_per_dr_service","ua_per_do_service","ua_est_daily_ridership","ua_est_operating_cost_per_person","fatalmvapercapita","fatalmvapedestrianstrikepercapita","fatalintoxicationmvapercapita","transportation_score","transportation_rnk","public_score","infrastructure_score","safety_score","private_score","transportation_state_rnk","NAME"
"01001",55639,23697,578,24.4374524029019,1.99615009972633,0.694528082219278,86.7088861277005,0.43689125816666,0.733496332518337,0,33.3333333333333,25,66.6666666666667,100,24291.9144,831456.469,3.59460090943403,0,1.79730045471702,98.07,59.0965732087227,97.13,125.2,96.14,84.52,68.1818181818182,"Autauga County, Alabama"
"01003",218289,116747,2954,24.3516859255597,1.94542339405333,1.38752772476402,82.9965601763167,0.0308966199097819,1.19363941584791,0,0,0,0,0,0,0,6.41351602691844,0,0.458108287637032,90.5,21.1526479750779,96.02,86.53,96.61,91.27,45.4545454545455,"Baldwin County, Alabama"
"01005",25026,12057,2910,25.0748100526008,1.74737180862476,4.71069549970777,84.0327293980129,0.0584453535943892,2.29105786090006,0,100,5,100,100,550.092,932.08,3.99584432190522,0,3.99584432190522,108.98,87.2274143302181,96.09,143.36,97.69,102.46,93.9393939393939,"Barbour County, Alabama"
"01007",22374,9237,1657,29.2531145923276,2.00509712081554,1.02469135802469,87.6526458616011,0,0.33304551622055,0,0,0,0,0,0,0,0,0,0,87.3,5.54517133956386,95.93,86.51,93.35,83.37,12.1212121212121,"Bibb County, Alabama"
"01009",57755,24404,564,33.8005831418979,2.23881160103749,1.25502673560475,88.3415797844142,0.10160805796077,0.459445131648701,0,0,0,0,0,0,0,5.19435546705913,0,1.73145182235304,84.73,1.27725856697819,96.21,86.5,96.84,79.73,0,"Blount County, Alabama"
"01011",10173,4591,433,30.3801756587202,1.85097696121318,7.65754456439869,80.4767879548306,0,5.37013801756587,0,0,0,0,0,0,0,29.4898260100265,0,0,99.68,64.1121495327103,95.93,86.51,107,116.41,72.7272727272727,"Bullock County, Alabama"
"01013",19726,10119,320,25.2622244742843,2.01007670326365,2.74892323283506,86.3693944768178,0.202685583987839,0.380035469977198,0,0,0,0,0,0,0,15.2083544560479,0,0,89.16,13.7071651090343,96.49,86.52,100.39,88.22,30.3030303030303,"Butler County, Alabama"
"01015",114324,53722,2979,23.6985997592346,1.98945526339406,1.62311278388435,84.5910156497497,0.610361359268411,1.21649876449344,0,0,0,0,0,0,0,9.62177670480389,4.37353486581995,2.62412091949197,90.36,20.4984423676012,97.61,86.53,104.42,89.56,43.9393939393939,"Calhoun County, Alabama"
"01017",33427,16985,558,22.8082046944386,2.01663967015167,2.98181305512477,87.4180587862127,0.197363783745683,0.817649961232114,0,0,0,0,0,0,0,23.9327489753792,0,5.9831872438448,88.39,9.87538940809969,96.48,86.53,108.15,88.44,22.7272727272727,"Chambers County, Alabama"
"01019",26035,16631,274,29.1372721928277,2.19564414913252,0.548696844993141,85.9886341367823,0.156770527140898,0.548696844993141,0,0,0,0,0,0,0,3.84098329172268,0,0,85.83,2.74143302180685,96.36,86.51,95.13,81.4,9.09090909090909,"Cherokee County, Alabama"
"01021",44147,19897,429,30.6837193421727,2.05460910151692,2.13419839508281,85.5403175325784,0,0.273146303989074,0,100,10,100,100,0,0,2.26515958049245,0,0,101.87,70.0623052959502,95.93,143.35,94.4,86.84,81.8181818181818,"Chilton County, Alabama"
"01023",12755,7410,171,34.7187644075611,2.05590994371482,1.08695652173913,85.6154910096819,0,1.17565698478562,0,0,0,0,0,0,0,0,0,0,88.13,8.72274143302181,95.93,86.49,93.35,86.32,18.1818181818182,"Choctaw County, Alabama"
"01025",23866,12813,357,28.1647219463754,1.91676498981015,1.81840827002117,89.4116186693148,0,0.285501489572989,0,0,0,0,0,0,0,4.19006117489315,0,0,87.99,8.00623052959502,95.93,86.51,95.29,84.62,16.6666666666667,"Clarke County, Alabama"
"01027",13285,6832,236,25.3434247871334,2.19813700756841,1.85430463576159,89.4039735099338,0,0.681173131504257,0,0,0,0,0,0,0,15.054572826496,0,0,84.97,1.52647975077882,95.93,86.52,100.32,81.03,1.51515151515152,"Clay County, Alabama"
"01029",14952,6859,175,32.625065824118,2.12390745501285,2.15941011235955,86.2032648762507,0,0.649464630507285,0,0,0,0,0,0,0,0,0,0,87.96,7.94392523364486,95.93,86.5,93.35,85.88,15.1515151515152,"Cleburne County, Alabama"
"01031",52238,23313,600,22.1087722427864,2.03463485539572,2.86861476689717,86.4514114971235,0.0222985327565446,0.628818623734558,0,0,0,0,0,0,0,1.91431524943528,0,0,89.48,15.1090342679128,96,86.54,94.24,88.49,37.8787878787879,"Coffee County, Alabama"
"01033",54957,26727,444,21.9297036526533,1.94944258384181,1.80048242591316,86.5609924190214,0.0775327360441075,0.986388697450034,0,100,43,100,100,2738.3616,24911.712,12.7372309259967,0,3.63920883599905,102.22,71.3395638629283,96.15,143.43,101.51,88.2,83.3333333333333,"Colbert County, Alabama"
"01035",12219,7203,43,29.4824095165781,1.7742639040349,0.607441154138193,87.9524171095925,0.354340673247279,0.455580865603645,0,0,0,0,0,0,0,8.1839757754317,0,0,89.31,14.392523364486,96.9,86.51,97.14,86.1,36.3636363636364,"Conecuh County, Alabama"
"01037",10696,6615,391,26.1896001962227,2.17006972111554,0.981113563895021,79.3966151582046,0,1.54525386313466,0,0,0,0,0,0,0,0,0,0,89.84,17.4143302180685,95.93,86.52,93.35,91.05,42.4242424242424,"Coosa County, Alabama"
"01039",37096,19073,717,24.3889493739793,1.92404134711571,2.73543821448013,88.4730538922156,0.0272182906913446,1.23843222645618,0,0,0,0,0,0,0,5.39141686435195,0,2.69570843217598,89.59,15.7009345794393,96.01,86.53,97.53,89.18,39.3939393939394,"Covington County, Alabama"
"01041",13826,6834,189,28.1972607612949,1.99481141488725,3.75311277125578,78.352899324084,0.782639630024902,2.73923870508716,0,0,0,0,0,0,0,7.23274989150875,0,0,96.16,51.7757009345794,98.08,86.51,96.7,102.94,65.1515151515152,"Crenshaw County, Alabama"
"01043",83345,38056,1242,25.5382208571347,2.17035893234173,0.631032992364213,87.068346872578,0.0545397135229784,0.798002124178316,0,100,30,100,100,759.7872,13899.07,3.59949607055012,0,1.19983202351671,98.97,61.619937694704,96.08,143.4,95.77,81.41,69.6969696969697,"Cullman County, Alabama"
"01045",49293,23151,1428,21.2844060165763,1.94120072146354,1.85125390162523,83.321395681981,0.0358129540570961,2.79341041645349,0,0,0,0,0,0,0,8.11474245836123,6.08605684377092,0,91.9,29.3457943925234,96.03,86.54,104.03,95.1,53.030303030303,"Dale County, Alabama"
"01047",38184,20427,565,24.053807403081,1.75163865273541,3.21800322533353,88.7931663868,0,1.12433379572169,0,0,0,0,0,0,0,5.23779593547035,5.23779593547035,0,91.88,29.1588785046729,95.93,86.53,101.74,92.38,51.5151515151515,"Dallas County, Alabama"
"01049",71430,31424,986,24.5403436933611,2.12668310259814,1.76916879280247,83.9732832113848,0.187957306840303,1.27878096260992,0,0,0,0,0,0,0,11.1997760044799,0,1.39997200055999,88.64,11.0280373831776,96.45,86.53,99.41,88.41,25.7575757575758,"DeKalb County, Alabama"
"01051",81526,34332,4568,25.4421583517208,2.07431026381151,0.94566712517194,86.2968163452446,0.074504971774078,1.6563028340545,0,33.3333333333333,25,66.6666666666667,100,5794.4016,198329.066,1.22660255623973,1.22660255623973,0,97.9,58.5046728971963,96.14,125.19,95.32,86,66.6666666666667,"Elmore County, Alabama"
"01053",36775,16618,3035,20.7721836107968,1.73845796922125,2.80426701147567,91.2881849038306,0.331339906255051,0.549539356715694,0,0,0,0,0,0,0,29.9116247450714,0,5.43847722637662,89.18,13.7694704049844,96.84,86.54,110.58,88.19,31.8181818181818,"Escambia County, Alabama"
"01055",102721,47805,1308,24.2687498517095,2.00379208048497,1.90011890606421,88.0133817353548,0.0545709065888438,0.752129451681021,0,100,13,75,100,4408.6032,31643.607,5.84106463138015,0,0.973510771896691,99.87,64.6105919003115,96.08,137.73,96.66,85.68,74.2424242424242,"Etowah County, Alabama"
