"geoid","geolevel","year","transportation_score","transportation_rnk","transportation_state_rnk"
"05000US18141","county","2019","103.69","83.5678","81.3187"
"05000US18143","county","2019","90.55","8.5997","16.4835"
"05000US18145","county","2019","89.64","4.9872","8.2418"
"05000US18147","county","2019","87.78","1.4386","0"
"05000US18149","county","2019","92.71","22.1867","30.7692"
"05000US18151","county","2019","92.88","23.8811","35.1648"
"05000US18153","county","2019","91.91","16.4322","25.2747"
"05000US18155","county","2019","94.74","37.468","52.7473"
"05000US18157","county","2019","124.96","96.835","98.9011"
"05000US18159","county","2019","92.92","24.2647","36.2637"
"05000US18161","county","2019","91.7","15.0256","24.1758"
"05000US18163","county","2019","102.39","80.0831","75.8242"
"05000US18165","county","2019","93.22","26.4386","39.5604"
"05000US18167","county","2019","117.09","95.3325","95.6044"
"05000US18169","county","2019","93.34","27.4297","42.8571"
"05000US18171","county","2019","90.82","9.8465","19.7802"
"05000US18173","county","2019","93.66","29.3798","45.0549"
"05000US18175","county","2019","92.79","22.9859","31.8681"
"05000US18177","county","2019","102.08","78.9642","72.5275"
"05000US18179","county","2019","89.64","4.9872","8.2418"
"05000US18181","county","2019","99.77","69.2136","65.9341"
"05000US18183","county","2019","96.42","50.3197","61.5385"
"05000US19001","county","2019","90.36","7.7366","15.3061"
"05000US19003","county","2019","89.7","5.211","9.1837"
"05000US19005","county","2019","96.89","53.101","70.4082"
"05000US19007","county","2019","93.22","26.4386","43.8776"
"05000US19009","county","2019","92.27","19.0217","32.6531"
"05000US19011","county","2019","88.98","3.133","2.0408"
"05000US19013","county","2019","108.22","90.601","94.898"
"05000US19015","county","2019","90.15","6.8095","14.2857"
"05000US19017","county","2019","92.85","23.4974","38.7755"
"05000US19019","county","2019","95","39.7059","58.1633"
"05000US19021","county","2019","98.26","61.445","73.4694"
"05000US19023","county","2019","89.63","4.8913","7.1429"
"05000US19025","county","2019","87.24","1.087","0"
"05000US19027","county","2019","97.03","53.9642","71.4286"
"05000US19029","county","2019","96.55","51.023","69.3878"
"05000US19031","county","2019","89.92","5.8824","10.2041"
"05000US19033","county","2019","100.79","73.8171","81.6327"
"05000US19035","county","2019","94.47","35.454","52.0408"
"05000US19037","county","2019","91.01","10.9015","18.3673"
"05000US19039","county","2019","93.24","26.5665","44.898"
"05000US19041","county","2019","102.58","80.6266","89.7959"
