"geoid","geolevel","year","transportation_score","transportation_rnk","transportation_state_rnk"
"05000US12115","county","2019","98.04","60.422","33.8462"
"05000US12117","county","2019","100.87","74.1368","56.9231"
"05000US12119","county","2019","101.03","74.8082","60"
"05000US12121","county","2019","104.35","84.9744","78.4615"
"05000US12123","county","2019","95.66","44.6931","13.8462"
"05000US12125","county","2019",NA,NA,NA
"05000US12127","county","2019","98.71","64.1624","40"
"05000US12129","county","2019","92.8","23.0179","3.0769"
"05000US12131","county","2019","99.16","66.5921","46.1538"
"05000US12133","county","2019","93.87","31.0102","7.6923"
"05000US13001","county","2019","95.3","41.9118","37.5796"
"05000US13003","county","2019","95.82","45.9399","41.4013"
"05000US13005","county","2019","93.66","29.3798","28.0255"
"05000US13007","county","2019","92.95","24.3606","22.293"
"05000US13009","county","2019","101.02","74.7123","70.0637"
"05000US13011","county","2019","91.58","14.2263","13.3758"
"05000US13013","county","2019","101.34","76.2148","73.2484"
"05000US13015","county","2019","93.58","28.7724","26.7516"
"05000US13017","county","2019","102.41","80.179","80.8917"
"05000US13019","county","2019","96.6","51.4386","47.1338"
"05000US13021","county","2019","112.1","93.3824","94.9045"
"05000US13023","county","2019","97.33","56.0742","52.8662"
"05000US13025","county","2019","89.74","5.3708","5.0955"
"05000US13027","county","2019","101.59","77.3338","75.1592"
"05000US13029","county","2019","96.66","51.8223","48.4076"
"05000US13031","county","2019","97.85","59.1432","57.6433"
"05000US13033","county","2019","97.62","57.8325","55.7325"
"05000US13035","county","2019","90.91","10.2621","10.1911"
"05000US13037","county","2019","96.59","51.3107","46.4968"
"05000US13039","county","2019","95.93","46.6113","43.3121"
"05000US13043","county","2019","99.68","68.734","64.3312"
"05000US13045","county","2019","102.61","80.6586","82.1656"
"05000US13047","county","2019","103.59","83.2481","87.2611"
"05000US13049","county","2019","92.91","24.1688","21.6561"
"05000US13051","county","2019","108.12","90.4731","94.2675"
"05000US13053","county","2019","126.65","97.0908","98.7261"
"05000US13055","county","2019","97.66","58.1202","56.6879"
"05000US13057","county","2019","103.25","82.257","84.7134"
"05000US13059","county","2019","118.88","95.7481","98.0892"
"05000US13061","county","2019","101.21","75.7673","71.9745"
"05000US13063","county","2019","115.01","94.4054","95.5414"
"05000US13065","county","2019","96.82","52.7813","49.6815"
"05000US13067","county","2019","106.54","88.8107","92.3567"
"05000US13069","county","2019","96.55","51.023","45.8599"
"05000US13071","county","2019","100.29","71.5153","67.5159"
"05000US13073","county","2019","90.84","10.0703","8.9172"
"05000US13075","county","2019","97.22","55.211","51.5924"
"05000US13077","county","2019","102.12","79.2199","78.3439"
"05000US13079","county","2019","90.86","10.1023","9.5541"
"05000US13081","county","2019","104.96","86.1253","89.172"
"05000US13083","county","2019","97.85","59.1432","57.6433"
"05000US13085","county","2019","94.18","33.312","30.5732"
"05000US13087","county","2019","99.09","66.2404","63.0573"
"05000US13089","county","2019","127.48","97.1867","99.3631"
"05000US13091","county","2019","102.85","81.3619","83.4395"
"05000US13093","county","2019","99.77","69.2136","64.9682"
"05000US13095","county","2019","116.02","95.0128","96.1783"
"05000US13097","county","2019","103.31","82.5128","85.3503"
"05000US13099","county","2019","98.84","64.9936","61.7834"
"05000US13101","county","2019","91.36","12.7238","11.465"
"05000US13103","county","2019","90.02","6.298","6.3694"
"05000US13105","county","2019","101.31","76.1189","72.6115"
"05000US13107","county","2019","101.76","77.8772","76.4331"
"05000US13109","county","2019","94.97","39.4182","35.0318"
"05000US13111","county","2019","93.45","28.0691","26.1146"
"05000US13113","county","2019","102.37","80.0192","80.2548"
"05000US13115","county","2019","103.75","83.7276","88.2166"
"05000US13117","county","2019","102.55","80.4987","81.5287"
"05000US13119","county","2019","92.12","18.0307","17.1975"
"05000US13121","county","2019","130.13","97.4105","100"
"05000US13123","county","2019","97.4","56.3939","53.5032"
"05000US13125","county","2019","88.38","2.078","1.2739"
"05000US13127","county","2019","97.43","56.7136","54.7771"
"05000US13129","county","2019","95.59","43.9578","40.7643"
"05000US13131","county","2019","95.52","43.2545","40.1274"
"05000US13133","county","2019","96.07","47.6023","43.949"
"05000US13135","county","2019","106.47","88.7468","91.7197"
"05000US13137","county","2019","93.06","24.8721","22.9299"
"05000US13139","county","2019","99.36","67.3593","63.6943"
"05000US13141","county","2019","96.23","48.977","45.2229"
"05000US13143","county","2019","92.06","17.5192","15.9236"
"05000US13145","county","2019","88.69","2.4297","1.9108"
"05000US13147","county","2019","90.79","9.6867","7.9618"
"05000US13149","county","2019","92.72","22.3146","20.3822"
"05000US13151","county","2019","102.34","79.8913","79.6178"
"05000US13153","county","2019","92.68","21.9309","19.7452"
"05000US13155","county","2019","94.36","34.7187","32.4841"
"05000US13157","county","2019","91.45","13.4591","12.7389"
"05000US13159","county","2019","90.79","9.6867","7.9618"
"05000US13161","county","2019","93.86","30.8504","28.6624"
"05000US13163","county","2019","97.88","59.3031","58.5987"
"05000US13165","county","2019","98.38","62.2442","60.828"
"05000US13167","county","2019","97.25","55.5307","52.2293"
